Kepler_ID,RA,Dec,Period,Transit_Depth,Duration
2854181,291.8130200,38.0881810,101.1323475,1502.9,4.366
2854181,291.8130200,38.0881810,12.834857,293.9,2.092
2854698,291.9259600,38.0141180,8.187394429999999,517.6,3.0472
2854698,291.9259600,38.0141180,76.0498163,445.9,7.158
2854839,291.9576100,38.0700490,1.05569286,37.5,1.289
2854914,291.9761700,38.0550800,25.93406406,414.5,4.6142
2854914,291.9761700,38.0550800,83.4463485,503.0,6.536
2854948,291.9841600,38.0883710,0.97430309,34976.0,2.1088
2856960,292.3813200,38.0766490,204.280255,10579.0,37.2
2857607,292.5146800,38.0220600,41.8681996,150.7,5.783
2859299,292.8834200,38.0749510,0.643703667,172.0,0.801
2859893,293.0148900,38.0124020,333.03842,1260.0,5.948
2860114,293.0659800,38.0420110,0.941603153,462.1,1.1886
2860594,293.1649500,38.0691300,5.499941793,47751.3,11.3096
2860656,293.1757800,38.0420190,4.11497357,154.1,3.025
2860788,293.2073400,38.0090290,2.629870555,101310.0,6.606
2860793,293.2083100,38.0033190,2.62982665,126.4,6.213
2860866,293.2239100,38.0335810,90.1240507,3020.3,11.649
2861126,293.2811000,38.0822410,105.52127462,,2.52
2861126,293.2811000,38.0822410,4.98792404,346.2,1.618
2861298,293.3186300,38.0054660,581.729006,186.7,6.647
2969638,285.7297100,38.1648290,1.97362159,,3.29
2970670,286.0711400,38.1676100,0.947554749,65.4,1.097
2970804,286.1069600,38.1076280,0.686994057,2797.1,3.5252
2972800,286.7852200,38.1516420,361.43653,271.9,9.08
2973386,286.9801300,38.1652180,31.0209175,859.5,2.012
2973509,287.0257000,38.1710210,6.62761199,227141.0,6.15281
2975770,287.7375500,38.1145590,71.52543937999999,5904.3,5.9189
2975770,287.7375500,38.1145590,369.069345,945.9,5.832
2976017,287.8172900,38.1948090,3.19938075,76.1,1.761
2984990,290.3240100,38.1111110,3.79437277,83.2,2.289
2985587,290.4800700,38.1366880,3.375716723,175.7,1.5436
2985767,290.5267600,38.1429790,14.07969236,169.5,1.375
2986833,290.7821400,38.1877900,0.912179022,144.6,1.332
2987027,290.8331300,38.1843490,17.276296682,10458.0,3.94738
2987433,290.9389600,38.1195720,420.92920358,86013.1,17.3985
2989404,291.3822300,38.1274680,3.553831111,191.8,3.1029
2989404,291.3822300,38.1274680,1.6783263,146.3,2.5123
2989706,291.4476600,38.1492810,1.257689465,945.6,0.8399
2990873,291.6995500,38.1452710,16.22378479,262.3,2.5462
2992634,292.0780300,38.1538310,47.82278681,,1.19
2994092,292.4006300,38.1345790,50.271927,574.5,6.073
2995392,292.6842700,38.1262820,30.4544418,472.1,6.896
2997178,293.0748000,38.1697200,5.95077813,761.8,5.6
2997455,293.1304000,38.1277890,1.129848432,4658.5,2.07578
2997459,293.1309800,38.1596790,16.3368863,225.9,3.597
2998124,293.2663600,38.1260800,28.597880332,85951.6,7.71925
3001885,294.0704000,38.1817020,2.67596808,420.6,2.021
3001955,294.0845000,38.1563190,348.96347,585.2,13.84
3002478,294.1856100,38.1086690,6.35705314,272.2,1.324
3003019,294.2919600,38.1387710,0.502622858,146.0,3.085
3003673,294.4205600,38.1905290,57.1143966,268.8,2.182
3003991,294.4899600,38.1996190,7.244778994,99147.1,3.3873
3003991,294.4899600,38.1996190,110.1552727,,2.04
3003992,294.4901100,38.1941260,7.24476126,58.0,2.3145
3003992,294.4901100,38.1941260,13.55480534,48.3,2.288
3097346,285.6840800,38.2628170,4.029810359,111.1,3.3316
3097352,285.6870400,38.2611500,4.029803201,191073.0,4.4301
3097926,285.9084800,38.2127190,14.97974335,1211.8,4.126
3098184,286.0003100,38.2845990,15.2384539,7019.0,19.292
3098194,286.0030800,38.2857210,30.476518853,326626.0,10.2264
3098197,286.0046100,38.2847100,30.47639859,130569.0,17.9728
3098605,286.1477700,38.2417980,0.428046051,126.0,0.776
3098810,286.2232400,38.2581710,40.80957343,436.1,3.158
3098843,286.2326400,38.2028880,29.9756697,258.0,2.987
3098843,286.2326400,38.2028880,179.85022331,,2.95
